Dataset Name,Tree Accuracy,Tree Precision,Tree Recall,Tree F1 Score,Tree Clean Auc,Tree Clean Accuracy,Tree Clean Precision,Tree Clean Recall,Tree Clean F1 Score,Tree Clean Auc,DNN Accuracy,DNN Precision,DNN Recall,DNN F1 Score,DNN Auc
null10,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.950661096386805,0.9730113636363636,0.9196428571428571,0.911504424778761,0.9155555555555556,0.950661096386805,0.8394886363636364,0.0,0.0,0.0,0.5
outlier10,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9511702079870625,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9511702079870625,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent10,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9507958612221672,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9507958612221672,0.8394886363636364,0.0,0.0,0.0,0.5
all10,0.9801136363636364,0.9380530973451328,0.9380530973451328,0.9380530973451328,0.9643921357231632,0.9801136363636364,0.9541284403669725,0.9203539823008849,0.9369369369369369,0.9643921357231632,0.8394886363636364,0.0,0.0,0.0,0.5
on10,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9508482697692526,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9508482697692526,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
oi10,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9516194241049368,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9516194241049368,0.8394886363636364,0.0,0.0,0.0,0.5
in10,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9819789467379423,0.9815340909090909,0.9098360655737705,0.9823008849557522,0.9446808510638298,0.9819789467379423,0.8394886363636364,0.0,0.0,0.0,0.5
null20,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9504739230043574,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9504739230043574,0.8394886363636364,0.0,0.0,0.0,0.5
outlier20,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9143344863213693,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9143344863213693,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent20,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9503466451042929,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9503466451042929,0.8394886363636364,0.0,0.0,0.0,0.5
all20,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9506985310632945,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9506985310632945,0.8394886363636364,0.0,0.0,0.0,0.5
on20,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9506461225162091,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9506461225162091,0.8394886363636364,0.0,0.0,0.0,0.5
oi20,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.951769162810895,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.951769162810895,0.8394886363636364,0.0,0.0,0.0,0.5
in20,0.9673295454545454,0.95,0.8407079646017699,0.892018779342723,0.931868888789063,0.9673295454545454,0.95,0.8407079646017699,0.892018779342723,0.931868888789063,0.8394886363636364,0.0,0.0,0.0,0.5
null30,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9501969063983349,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9501969063983349,0.8394886363636364,0.0,0.0,0.0,0.5
outlier30,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9520686402228111,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9520686402228111,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent30,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9507209918691881,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9507209918691881,0.8394886363636364,0.0,0.0,0.0,0.5
all30,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9508258089633589,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9508258089633589,0.8394886363636364,0.0,0.0,0.0,0.5
on30,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9518440321638739,0.9744318181818182,0.9279279279279279,0.911504424778761,0.9196428571428571,0.9518440321638739,0.8394886363636364,0.0,0.0,0.0,0.5
oi30,0.9559659090909091,0.9019607843137255,0.8141592920353983,0.8558139534883721,0.9006109339203091,0.9559659090909091,0.9019607843137255,0.8141592920353983,0.8558139534883721,0.9006109339203091,0.8394886363636364,0.0,0.0,0.0,0.5
in30,0.9758522727272727,0.9363636363636364,0.911504424778761,0.9237668161434978,0.9503241842983993,0.9758522727272727,0.9363636363636364,0.911504424778761,0.9237668161434978,0.9503241842983993,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
null40,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9456298758666128,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9456298758666128,0.8394886363636364,0.0,0.0,0.0,0.5
outlier40,0.9872159090909091,0.940677966101695,0.9823008849557522,0.961038961038961,0.9863363430813232,0.9872159090909091,0.940677966101695,0.9823008849557522,0.961038961038961,0.9863363430813232,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent40,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9504963838102511,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9504963838102511,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
all40,0.9644886363636364,0.94,0.831858407079646,0.8826291079812206,0.9491337615860324,0.9659090909090909,0.9587628865979382,0.8230088495575221,0.8857142857142857,0.9491337615860324,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
on40,0.9659090909090909,0.9405940594059405,0.8407079646017699,0.8878504672897196,0.9260814878037824,0.9659090909090909,0.9405940594059405,0.8407079646017699,0.8878504672897196,0.9260814878037824,0.8394886363636364,0.0,0.0,0.0,0.5
oi40,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9505712531632301,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9505712531632301,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
in40,0.9815340909090909,0.9098360655737705,0.9823008849557522,0.9446808510638298,0.9853480676219996,0.9815340909090909,0.9098360655737705,0.9823008849557522,0.9446808510638298,0.9853480676219996,0.8394886363636364,0.0,0.0,0.0,0.5
null50,0.9730113636363636,0.9196428571428571,0.911504424778761,0.9155555555555556,0.9477561654912177,0.9730113636363636,0.9196428571428571,0.911504424778761,0.9155555555555556,0.9477561654912177,0.8394886363636364,0.0,0.0,0.0,0.5
outlier50,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9497252294745668,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9497252294745668,0.8394886363636364,0.0,0.0,0.0,0.5
inconsistent50,0.9673295454545454,0.95,0.8407079646017699,0.892018779342723,0.9510204692811045,0.9772727272727273,0.944954128440367,0.911504424778761,0.9279279279279279,0.9510204692811045,0.16051136363636365,0.16051136363636365,1.0,0.2766217870257038,0.5
all50,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9461240135962745,0.96875,0.9595959595959596,0.8407079646017699,0.8962264150943396,0.9461240135962745,0.8394886363636364,0.0,0.0,0.0,0.5
on50,0.9786931818181818,0.9537037037037037,0.911504424778761,0.9321266968325792,0.9827800488148181,0.9673295454545454,0.95,0.8407079646017699,0.892018779342723,0.9827800488148181,0.8394886363636364,0.0,0.0,0.0,0.5
oi50,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9512450773400416,0.9801136363636364,0.9626168224299065,0.911504424778761,0.9363636363636364,0.9512450773400416,0.8394886363636364,0.0,0.0,0.0,0.5
in50,0.9758522727272727,0.9363636363636364,0.911504424778761,0.9237668161434978,0.9382178099216867,0.9715909090909091,0.9345794392523364,0.8849557522123894,0.9090909090909091,0.9382178099216867,0.8394886363636364,0.0,0.0,0.0,0.5
