Dropped Features,Tree Accuracy,Tree Precision,Tree Recall,Tree F1 Score,Tree Clean Auc,DNN Accuracy,DNN Precision,DNN Recall,DNN F1 Score,DNN Auc
['Absolute Magnitude'],0.9673295454545454,0.9591836734693877,0.831858407079646,0.8909952606635071,,0.953125,0.9081632653061225,0.7876106194690266,0.8436018957345972,0.9913301289250258
"['Absolute Magnitude', 'Minimum Orbit Intersection']",0.90625,0.7701149425287356,0.5929203539823009,0.67,,0.8636363636363636,0.6075949367088608,0.4247787610619469,0.5,0.8891933575910036
"['Absolute Magnitude', 'Est Dia in KM(min)']",0.9389204545454546,0.8070175438596491,0.8141592920353983,0.8105726872246696,,0.9474431818181818,0.8114754098360656,0.8761061946902655,0.8425531914893617,0.9864636209813875
"['Absolute Magnitude', 'Est Dia in KM(min)', 'Minimum Orbit Intersection']",0.8465909090909091,0.5221238938053098,0.5221238938053098,0.5221238938053098,,0.8664772727272727,0.6338028169014085,0.39823008849557523,0.4891304347826087,0.8836230777293622
['Minimum Orbit Intersection'],0.9119318181818182,0.7802197802197802,0.6283185840707964,0.696078431372549,,0.8678977272727273,0.6851851851851852,0.3274336283185841,0.4431137724550898,0.8906458230387972
"['Est Dia in KM(min)', 'Minimum Orbit Intersection']",0.921875,0.7788461538461539,0.7168141592920354,0.7465437788018433,,0.8735795454545454,0.6153846153846154,0.5663716814159292,0.5898617511520737,0.9090037883892607
['Est Dia in KM(min)'],0.9857954545454546,0.9557522123893806,0.9557522123893806,0.9557522123893806,,0.9644886363636364,0.9313725490196079,0.8407079646017699,0.8837209302325582,0.9945644849737207
